date,realtime_end,realtime_start,value
2000-10-01,2019-10-25,2019-10-25,61002
2001-01-01,2019-10-25,2019-10-25,51892
2001-04-01,2019-10-25,2019-10-25,59620
2001-07-01,2019-10-25,2019-10-25,45496
2001-10-01,2019-10-25,2019-10-25,29143
2002-01-01,2019-10-25,2019-10-25,46751
2002-04-01,2019-10-25,2019-10-25,71536
2002-07-01,2019-10-25,2019-10-25,58034
2002-10-01,2019-10-25,2019-10-25,47599
2003-01-01,2019-10-25,2019-10-25,53235
2003-04-01,2019-10-25,2019-10-25,64210
2003-07-01,2019-10-25,2019-10-25,62757
2003-10-01,2019-10-25,2019-10-25,56608
2004-01-01,2019-10-25,2019-10-25,70389
2004-04-01,2019-10-25,2019-10-25,87539
2004-07-01,2019-10-25,2019-10-25,87922
2004-10-01,2019-10-25,2019-10-25,74572
2005-01-01,2019-10-25,2019-10-25,85702
2005-04-01,2019-10-25,2019-10-25,98132
2005-07-01,2019-10-25,2019-10-25,93090
2005-10-01,2019-10-25,2019-10-25,82085
2006-01-01,2019-10-25,2019-10-25,96038
2006-04-01,2019-10-25,2019-10-25,109864
2006-07-01,2019-10-25,2019-10-25,115472
2006-10-01,2019-10-25,2019-10-25,83309
2007-01-01,2019-10-25,2019-10-25,98170
2007-04-01,2019-10-25,2019-10-25,124957
2007-07-01,2019-10-25,2019-10-25,105810
2007-10-01,2019-10-25,2019-10-25,87325
2008-01-01,2019-10-25,2019-10-25,94244
2008-04-01,2019-10-25,2019-10-25,108861
2008-07-01,2019-10-25,2019-10-25,110855
2008-10-01,2019-10-25,2019-10-25,44133
2009-01-01,2019-10-25,2019-10-25,50888
2009-04-01,2019-10-25,2019-10-25,75254
2009-07-01,2019-10-25,2019-10-25,90126
2009-10-01,2019-10-25,2019-10-25,72339
2010-01-01,2019-10-25,2019-10-25,89617
2010-04-01,2019-10-25,2019-10-25,118024
2010-07-01,2019-10-25,2019-10-25,119383
2010-10-01,2019-10-25,2019-10-25,92839
2011-01-01,2019-10-25,2019-10-25,112496
2011-04-01,2019-10-25,2019-10-25,130184
2011-07-01,2019-10-25,2019-10-25,132609
2011-10-01,2019-10-25,2019-10-25,104206
2012-01-01,2019-10-25,2019-10-25,125719
2012-04-01,2019-10-25,2019-10-25,139599
2012-07-01,2019-10-25,2019-10-25,130736
2012-10-01,2019-10-25,2019-10-25,112133
2013-01-01,2019-10-25,2019-10-25,119016
2013-04-01,2019-10-25,2019-10-25,130529
2013-07-01,2019-10-25,2019-10-25,131754
2013-10-01,2019-10-25,2019-10-25,115892
2014-01-01,2019-10-25,2019-10-25,118291
2014-04-01,2019-10-25,2019-10-25,149886
2014-07-01,2019-10-25,2019-10-25,149170
2014-10-01,2019-10-25,2019-10-25,120497
2015-01-01,2019-10-25,2019-10-25,123778
2015-04-01,2019-10-25,2019-10-25,144379
2015-07-01,2019-10-25,2019-10-25,141936
2015-10-01,2019-10-25,2019-10-25,105752
2016-01-01,2019-10-25,2019-10-25,120935
2016-04-01,2019-10-25,2019-10-25,138267
2016-07-01,2019-10-25,2019-10-25,135149
2016-10-01,2019-10-25,2019-10-25,107239
2017-01-01,2019-10-25,2019-10-25,121606
2017-04-01,2019-10-25,2019-10-25,141593
2017-07-01,2019-10-25,2019-10-25,141284
2017-10-01,2019-10-25,2019-10-25,125357
2018-01-01,2019-10-25,2019-10-25,127529
2018-04-01,2019-10-25,2019-10-25,155599
2018-07-01,2019-10-25,2019-10-25,156461
2018-10-01,2019-10-25,2019-10-25,133040
2019-01-01,2019-10-25,2019-10-25,122725
2019-04-01,2019-10-25,2019-10-25,153493
